,BANK,ENV,INS,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB,TRAIN,CV
0,MFC,D2,-4.0,13.0,2.0,0.1,0.1,32.86,30.64,64.19,61.1
1,MFC,D2,-4.0,13.0,2.0,0.1,0.01,30.54,24.67,68.57,61.79
2,MFC,D2,-4.0,13.0,2.0,0.1,0.001,30.8,24.35,68.42,60.92
3,MFC,D2,-4.0,13.0,2.0,0.1,0.0001,30.78,24.32,68.43,60.87
4,MFC,D2,-4.0,13.0,2.0,0.1,1e-05,30.77,24.33,68.43,60.86
5,MFC,D2,-4.0,13.0,2.0,0.1,1e-06,30.77,24.33,68.43,60.85
6,MFC,D2,-4.0,13.0,2.0,0.01,0.1,33.04,30.69,64.11,61.09
7,MFC,D2,-4.0,13.0,2.0,0.01,0.01,30.37,23.92,69.21,62.14
8,MFC,D2,-4.0,13.0,2.0,0.01,0.001,30.77,24.48,68.18,60.77
9,MFC,D2,-4.0,13.0,2.0,0.01,0.0001,30.65,23.87,68.72,60.83
10,MFC,D2,-4.0,13.0,2.0,0.01,1e-05,30.99,24.61,67.99,60.6
11,MFC,D2,-4.0,13.0,2.0,0.01,1e-06,30.68,24.0,68.8,60.62
12,MFC,D2,-4.0,13.0,2.0,0.001,0.1,33.01,30.72,63.99,61.08
13,MFC,D2,-4.0,13.0,2.0,0.001,0.01,30.16,23.61,69.48,61.93
14,MFC,D2,-4.0,13.0,2.0,0.001,0.001,30.71,24.59,68.39,60.73
15,MFC,D2,-4.0,13.0,2.0,0.001,0.0001,30.17,23.0,69.29,60.68
16,MFC,D2,-4.0,13.0,2.0,0.001,1e-05,30.49,23.61,69.13,60.54
17,MFC,D2,-4.0,13.0,2.0,0.001,1e-06,30.43,23.59,69.1,60.52
18,MFC,D2,-4.0,13.0,2.0,0.0001,0.1,32.93,30.57,64.11,61.11
19,MFC,D2,-4.0,13.0,2.0,0.0001,0.01,30.44,24.05,69.02,61.55
20,MFC,D2,-4.0,13.0,2.0,0.0001,0.001,30.7,23.88,68.68,60.76
21,MFC,D2,-4.0,13.0,2.0,0.0001,0.0001,30.25,22.55,69.49,60.81
22,MFC,D2,-4.0,13.0,2.0,0.0001,1e-05,30.71,23.93,68.23,60.55
23,MFC,D2,-4.0,13.0,2.0,0.0001,1e-06,30.45,23.49,68.69,60.76
24,MFC,D2,-4.0,13.0,2.0,1e-05,0.1,33.05,30.56,64.01,60.94
25,MFC,D2,-4.0,13.0,2.0,1e-05,0.01,30.24,23.82,69.44,61.86
26,MFC,D2,-4.0,13.0,2.0,1e-05,0.001,30.12,22.7,69.57,61.09
27,MFC,D2,-4.0,13.0,2.0,1e-05,0.0001,30.1,22.55,69.57,60.7
28,MFC,D2,-4.0,13.0,2.0,1e-05,1e-05,30.16,22.56,69.55,60.75
29,MFC,D2,-4.0,13.0,2.0,1e-05,1e-06,30.05,22.66,69.52,60.83
30,MFC,D2,-4.0,13.0,2.0,1e-06,0.1,33.15,30.86,63.84,60.86
31,MFC,D2,-4.0,13.0,2.0,1e-06,0.01,30.21,23.82,69.44,61.83
32,MFC,D2,-4.0,13.0,2.0,1e-06,0.001,30.1,22.71,69.54,61.11
33,MFC,D2,-4.0,13.0,2.0,1e-06,0.0001,30.22,22.82,69.31,60.98
34,MFC,D2,-4.0,13.0,2.0,1e-06,1e-05,30.27,22.84,69.33,61.02
35,MFC,D2,-4.0,13.0,2.0,1e-06,1e-06,30.28,22.84,69.33,61.0
36,MFC,D2,-4.0,13.0,3.0,0.1,0.1,32.85,30.14,63.39,60.38
37,MFC,D2,-4.0,13.0,3.0,0.1,0.01,29.91,24.04,68.63,62.48
38,MFC,D2,-4.0,13.0,3.0,0.1,0.001,29.94,23.2,69.24,61.43
39,MFC,D2,-4.0,13.0,3.0,0.1,0.0001,30.48,24.87,67.74,61.3
40,MFC,D2,-4.0,13.0,3.0,0.1,1e-06,29.83,23.46,68.79,61.77
41,MFC,D2,-4.0,13.0,3.0,0.01,0.1,33.09,30.55,63.26,60.18
42,MFC,D2,-4.0,13.0,3.0,0.01,0.01,30.02,24.52,68.18,61.83
43,MFC,D2,-4.0,13.0,3.0,0.01,0.001,29.36,21.92,69.97,61.65
44,MFC,D2,-4.0,13.0,3.0,0.01,0.0001,29.42,21.88,70.08,61.58
45,MFC,D2,-4.0,13.0,3.0,0.01,1e-05,29.24,20.93,71.19,61.59
46,MFC,D2,-4.0,13.0,3.0,0.01,1e-06,29.44,22.08,69.9,61.47
47,MFC,D2,-4.0,13.0,3.0,0.001,0.1,32.56,29.79,63.71,60.71
48,MFC,D2,-4.0,13.0,3.0,0.001,0.01,29.84,23.68,69.41,62.21
49,MFC,D2,-4.0,13.0,3.0,0.001,0.001,29.41,21.05,71.18,61.71
50,MFC,D2,-4.0,13.0,3.0,0.001,0.0001,29.81,22.45,69.95,61.38
51,MFC,D2,-4.0,13.0,3.0,0.001,1e-05,29.77,23.36,69.0,61.23
52,MFC,D2,-4.0,13.0,3.0,0.001,1e-06,29.36,21.98,69.88,61.47
53,MFC,D2,-4.0,13.0,3.0,0.0001,0.1,32.77,29.83,63.76,60.56
54,MFC,D2,-4.0,13.0,3.0,0.0001,0.01,29.31,22.67,70.3,62.29
55,MFC,D2,-4.0,13.0,3.0,0.0001,0.001,29.18,21.24,70.42,61.59
56,MFC,D2,-4.0,13.0,3.0,0.0001,0.0001,29.71,22.56,69.86,61.58
57,MFC,D2,-4.0,13.0,3.0,0.0001,1e-05,29.07,20.51,71.43,61.62
58,MFC,D2,-4.0,13.0,3.0,0.0001,1e-06,29.17,20.42,71.61,61.68
59,MFC,D2,-4.0,13.0,3.0,1e-05,0.1,32.25,29.33,64.18,60.92
60,MFC,D2,-4.0,13.0,3.0,1e-05,0.01,29.88,23.34,69.46,62.07
61,MFC,D2,-4.0,13.0,3.0,1e-05,0.001,29.32,21.67,70.37,61.54
62,MFC,D2,-4.0,13.0,3.0,1e-05,0.0001,29.3,21.63,70.67,61.58
63,MFC,D2,-4.0,13.0,3.0,1e-05,1e-05,29.17,21.12,71.11,61.71
