WORD: %Corr=56.65, Acc=35.29 [H=4146, D=581, S=2592, I=1563, N=7319]
WORD: %Corr=59.36, Acc=36.84 [H=4365, D=548, S=2441, I=1656, N=7354]
WORD: %Corr=58.99, Acc=40.67 [H=4338, D=577, S=2439, I=1347, N=7354]
WORD: %Corr=60.65, Acc=42.48 [H=4460, D=588, S=2306, I=1336, N=7354]
WORD: %Corr=56.05, Acc=36.74 [H=4091, D=620, S=2588, I=1409, N=7299]
WORD: %Corr=58.25, Acc=36.76 [H=4284, D=572, S=2498, I=1581, N=7354]
WORD: %Corr=58.19, Acc=41.13 [H=4279, D=632, S=2443, I=1254, N=7354]
WORD: %Corr=60.77, Acc=42.83 [H=4469, D=588, S=2297, I=1319, N=7354]
WORD: %Corr=58.19, Acc=37.28 [H=26318, D=3668, S=15245, I=9454, N=45231]
WORD: %Corr=61.15, Acc=39.29 [H=27801, D=3270, S=14391, I=9937, N=45462]
WORD: %Corr=61.24, Acc=42.40 [H=27860, D=3608, S=14027, I=8568, N=45495]
WORD: %Corr=63.40, Acc=44.97 [H=28843, D=3491, S=13161, I=8382, N=45495]
WORD: %Corr=57.68, Acc=38.52 [H=25979, D=3787, S=15271, I=8632, N=45037]
WORD: %Corr=60.86, Acc=39.73 [H=27669, D=3329, S=14464, I=9606, N=45462]
WORD: %Corr=60.81, Acc=43.49 [H=27665, D=3798, S=14032, I=7877, N=45495]
WORD: %Corr=63.26, Acc=45.44 [H=28780, D=3471, S=13244, I=8109, N=45495]
WORD: %Corr=59.27, Acc=21.91 [H=4359, D=358, S=2637, I=2748, N=7354]
WORD: %Corr=62.52, Acc=22.46 [H=4598, D=326, S=2430, I=2946, N=7354]
WORD: %Corr=64.18, Acc=4.27 [H=4720, D=176, S=2458, I=4406, N=7354]
WORD: %Corr=65.35, Acc=5.89 [H=4806, D=175, S=2373, I=4373, N=7354]
WORD: %Corr=58.43, Acc=23.99 [H=4265, D=417, S=2617, I=2514, N=7299]
WORD: %Corr=61.19, Acc=23.09 [H=4500, D=323, S=2531, I=2802, N=7354]
WORD: %Corr=63.91, Acc=6.72 [H=4700, D=209, S=2445, I=4206, N=7354]
WORD: %Corr=65.42, Acc=6.17 [H=4811, D=203, S=2340, I=4357, N=7354]
WORD: %Corr=60.91, Acc=24.65 [H=27577, D=2182, S=15519, I=16415, N=45278]
WORD: %Corr=63.72, Acc=24.96 [H=28991, D=1912, S=14592, I=17634, N=45495]
WORD: %Corr=65.80, Acc=7.11 [H=29936, D=1160, S=14399, I=26701, N=45495]
WORD: %Corr=67.63, Acc=9.98 [H=30768, D=1114, S=13613, I=26226, N=45495]
WORD: %Corr=59.92, Acc=26.92 [H=27007, D=2407, S=15658, I=14874, N=45072]
WORD: %Corr=63.23, Acc=26.58 [H=28715, D=1953, S=14744, I=16645, N=45412]
WORD: %Corr=65.13, Acc=8.87 [H=29630, D=1287, S=14578, I=25594, N=45495]
WORD: %Corr=67.55, Acc=10.30 [H=30734, D=1104, S=13657, I=26047, N=45495]
WORD: %Corr=55.57, Acc=39.42 [H=4067, D=708, S=2544, I=1182, N=7319]
WORD: %Corr=57.87, Acc=41.00 [H=4256, D=707, S=2391, I=1241, N=7354]
WORD: %Corr=56.32, Acc=46.86 [H=4142, D=924, S=2288, I=696, N=7354]
WORD: %Corr=58.32, Acc=48.90 [H=4289, D=876, S=2189, I=693, N=7354]
WORD: %Corr=57.06, Acc=40.90 [H=25798, D=4453, S=14960, I=7308, N=45211]
WORD: %Corr=60.09, Acc=43.23 [H=27224, D=4107, S=13978, I=7637, N=45309]
WORD: %Corr=58.90, Acc=49.11 [H=26796, D=5382, S=13317, I=4453, N=45495]
WORD: %Corr=61.19, Acc=51.32 [H=27839, D=5126, S=12530, I=4489, N=45495]
WORD: %Corr=54.87, Acc=40.23 [H=3992, D=757, S=2526, I=1065, N=7275]
WORD: %Corr=57.22, Acc=40.60 [H=4208, D=701, S=2445, I=1222, N=7354]
WORD: %Corr=56.02, Acc=47.29 [H=4120, D=926, S=2308, I=642, N=7354]
WORD: %Corr=57.91, Acc=48.82 [H=4259, D=911, S=2184, I=669, N=7354]
WORD: %Corr=56.60, Acc=41.63 [H=25428, D=4555, S=14942, I=6725, N=44925]
WORD: %Corr=59.78, Acc=43.71 [H=27134, D=4153, S=14106, I=7294, N=45393]
WORD: %Corr=58.56, Acc=49.26 [H=26641, D=5609, S=13245, I=4230, N=45495]
WORD: %Corr=61.04, Acc=51.36 [H=27772, D=5171, S=12552, I=4408, N=45495]
WORD: %Corr=56.66, Acc=43.31 [H=4167, D=863, S=2324, I=982, N=7354]
WORD: %Corr=59.13, Acc=46.18 [H=26749, D=4903, S=13588, I=5855, N=45240]
WORD: %Corr=56.49, Acc=43.54 [H=4131, D=828, S=2354, I=947, N=7313]
WORD: %Corr=58.79, Acc=46.53 [H=26662, D=4930, S=13756, I=5561, N=45348]
