,BANK,ENV,INS,CONT,PER TEST,PER SUB,TRAIN,CV
0,FBK,Z,-4.0,1.0,39.34,37.24,29.07,27.92
1,FBK,Z,-4.0,3.0,34.32,30.92,48.66,46.33
2,FBK,Z,-4.0,5.0,33.24,29.98,55.74,52.76
3,FBK,Z,-4.0,7.0,32.18,28.33,59.65,56.04
4,FBK,Z,-4.0,9.0,31.93,27.94,61.25,57.27
5,FBK,Z,-4.0,11.0,31.76,27.69,62.82,58.53
6,FBK,Z,-4.0,13.0,32.24,27.81,63.13,58.69
7,FBK,Z,-4.0,15.0,32.02,27.87,64.89,59.7
8,FBK,Z,-4.0,17.0,31.28,25.82,65.41,59.67
9,FBK,Z,-4.0,19.0,32.38,27.27,65.49,59.57
10,FBK,Z,-2.0,21.0,32.28,27.08,65.23,59.22
11,FBK,D,-4.0,1.0,51.93,50.84,49.95,47.7
12,FBK,D,-4.0,3.0,38.95,36.38,58.94,55.74
13,FBK,D,-4.0,5.0,35.47,32.36,61.19,57.53
14,FBK,D,-4.0,7.0,33.5,30.18,63.14,58.4
15,FBK,D,-4.0,9.0,32.98,29.62,63.86,58.81
16,FBK,D,-4.0,11.0,32.53,28.58,64.39,59.21
17,FBK,D,-4.0,13.0,32.64,29.1,64.58,59.14
18,FBK,D,-2.0,15.0,31.79,27.1,65.07,59.4
19,FBK,D,-4.0,17.0,31.53,26.87,65.48,59.02
20,FBK,D,-4.0,19.0,31.81,27.17,65.33,59.06
21,FBK,D,-2.0,21.0,32.14,27.29,65.49,59.08
22,FBK,D2,-4.0,1.0,35.9,33.45,56.56,53.66
23,FBK,D2,-4.0,3.0,33.37,30.05,61.83,58.17
24,FBK,D2,-4.0,5.0,31.86,27.95,63.54,58.86
25,FBK,D2,-4.0,7.0,31.49,27.32,64.73,59.16
26,FBK,D2,-4.0,9.0,31.47,26.72,65.27,59.66
27,FBK,D2,-4.0,11.0,31.96,28.06,64.42,59.41
28,FBK,D2,-4.0,13.0,32.22,27.67,64.89,59.19
29,FBK,D2,-4.0,15.0,31.92,27.16,65.53,59.14
30,FBK,D2,-4.0,17.0,31.52,25.79,66.2,59.46
31,FBK,D2,-4.0,19.0,31.92,26.27,65.79,59.04
32,FBK,D2,-2.0,21.0,31.63,25.4,66.37,59.26
