,BANK,INIT,ENV,MODEL,INS,TEST,COMP,OCC AVG,OCC MIN,RO,TB,HMM,PER
81,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,2165.0,1658.64115932,253.75946,200.0,1000.0,32.0,6.39
86,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,1655.0,1965.15418618,312.937195,200.0,1200.0,32.0,7.83
80,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,2165.0,1658.64115932,253.75946,200.0,1000.0,20.0,11.97
91,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,,,,200.0,2000.0,32.0,12.91
85,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,1655.0,1965.15418618,312.937195,200.0,1200.0,20.0,13.42
79,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,2165.0,1658.64115932,253.75946,200.0,1000.0,16.0,14.75
84,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,1655.0,1965.15418618,312.937195,200.0,1200.0,16.0,16.23
90,MFC,FlatStart,D2,xwtri,-10.0,SUBTRAIN,,,,200.0,2000.0,20.0,18.24
43,MFC,FlatStart,D2,xwtri,-12.5,TEST,2624.0,1505.95829352,210.271957,100.0,900.0,12.0,29.77
6,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2207.0,1647.85543174,259.078552,100.0,1000.0,24.0,29.87
25,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1520.0,2057.73449042,287.436188,100.0,1250.0,20.0,29.89
117,MFC,FlatStart,D2,xwtri,-12.5,TEST,,,,300.0,2000.0,16.0,30.01
210,MFC,FlatStart,D2,xwtri,-12.5,TEST,,,,900.0,2000.0,16.0,30.04
180,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1790.0,1865.39980187,255.140259,75.0,1150.0,20.0,30.04
137,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,1150.0,20.0,30.04
