,BANK,ENV,MODEL,INS,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB,TRAIN,CV
0,MFC,D2,xwtri,-8.0,13.0,5.0,1.0,0.1,31.57,27.4,59.75,50.05
2,MFC,D2,xwtri,-8.0,13.0,5.0,1.0,0.01,28.88,22.26,59.75,50.05
4,MFC,D2,xwtri,-8.0,13.0,5.0,1.0,0.001,27.98,19.21,59.75,50.05
6,MFC,D2,xwtri,-8.0,13.0,5.0,1.0,0.0001,28.72,21.43,59.75,50.05
8,MFC,D2,xwtri,-8.0,13.0,5.0,1.0,1e-05,28.66,21.53,59.75,50.05
10,MFC,D2,xwtri,-8.0,13.0,5.0,0.1,0.1,29.28,24.96,59.75,50.0
12,MFC,D2,xwtri,-8.0,13.0,5.0,0.1,0.01,26.55,18.26,59.75,50.05
14,MFC,D2,xwtri,-8.0,13.0,5.0,0.1,0.001,26.58,18.4,59.75,50.05
16,MFC,D2,xwtri,-8.0,13.0,5.0,0.1,0.0001,26.26,16.81,59.75,50.05
18,MFC,D2,xwtri,-8.0,13.0,5.0,0.1,1e-05,26.48,17.74,59.75,50.05
